Col(BS512)_1	NC_010656  Col(BS512)_1__NC_010656
Col(IMGS31)_1	NC_011406  Col(IMGS31)_1__NC_011406
Col(IRGK)_1	AY543071  Col(IRGK)_1__AY543071
Col(KPHS6)_1	NC_016841  Col(KPHS6)_1__NC_016841
Col(MG828)_1	NC_008486  Col(MG828)_1__NC_008486
Col(MGD2)_1	NC_003789  Col(MGD2)_1__NC_003789
Col(MP18)_1	NC_013652  Col(MP18)_1__NC_013652
Col(SD853)_1	NC_015392  Col(SD853)_1__NC_015392
Col(VCM04)_1	HM231165  Col(VCM04)_1__HM231165
Col(YC)_1	NC_002144  Col(YC)_1__NC_002144
Col(YF27601)_1	JF937655  Col(YF27601)_1__JF937655
Col(Ye4449)_1	FJ696405  Col(Ye4449)_1__FJ696405
Col(pWES)_1	DQ268764  Col(pWES)_1__DQ268764
Col156_1	NC_009781  Col156_1__NC_009781
Col3M_1	JX514065  Col3M_1__JX514065
Col440II_1	CP023921.1  Col440II_1__CP023921.1
Col440I_1	CP023920.1  Col440I_1__CP023920.1
Col8282_1	DQ995352  Col8282_1__DQ995352
ColE10_1	X01654  ColE10_1__X01654
ColKP3_1	JN205800  ColKP3_1__JN205800
ColRNAI_1	DQ298019  ColRNAI_1__DQ298019
ColpVC_1	JX133088  ColpVC_1__JX133088
FIA(pBK30683)_1	KF954760  FIA(pBK30683)_1__KF954760
FII(pBK30683)_1	KF954760  FII(pBK30683)_1__KF954760
IncA/C2_1	JN157804  IncA/C2_1__JN157804
IncA/C_1	FJ705807  IncA/C_1__FJ705807
IncB/O/K/Z_1	CU928147  IncB/O/K/Z_1__CU928147
IncB/O/K/Z_2	GU256641  IncB/O/K/Z_2__GU256641
IncB/O/K/Z_3	GQ259888  IncB/O/K/Z_3__GQ259888
IncB/O/K/Z_4	FN868832  IncB/O/K/Z_4__FN868832
IncFIA(HI1)_1_HI1	AF250878  IncFIA(HI1)_1_HI1_AF250878
IncFIA_1	AP001918  IncFIA_1__AP001918
IncFIB(AP001918)_1	AP001918  IncFIB(AP001918)_1__AP001918
IncFIB(K)_1_Kpn3	JN233704  IncFIB(K)_1_Kpn3_JN233704
IncFIB(Mar)_1_pNDM-Mar	JN420336  IncFIB(Mar)_1_pNDM-Mar_JN420336
IncFIB(S)_1	FN432031  IncFIB(S)_1__FN432031
IncFIB(pB171)_1_pB171	AB024946  IncFIB(pB171)_1_pB171_AB024946
IncFIB(pCTU1)_1_pCTU1	FN543094  IncFIB(pCTU1)_1_pCTU1_FN543094
IncFIB(pCTU3)_1_pCTU3	FN543096  IncFIB(pCTU3)_1_pCTU3_FN543096
IncFIB(pECLA)_1_pECLA	CP001919  IncFIB(pECLA)_1_pECLA_CP001919
IncFIB(pENTAS01)_1_pENTAS01	CP003027  IncFIB(pENTAS01)_1_pENTAS01_CP003027
IncFIB(pENTE01)_1_pENTE01	CP000654  IncFIB(pENTE01)_1_pENTE01_CP000654
IncFIB(pHCM2)_1_pHCM2	AL513384  IncFIB(pHCM2)_1_pHCM2_AL513384
IncFIB(pKPHS1)_1_pKPHS1	CP003223  IncFIB(pKPHS1)_1_pKPHS1_CP003223
IncFIB(pLF82)_1_pLF82	CU638872  IncFIB(pLF82)_1_pLF82_CU638872
IncFIB(pQil)_1_pQil	JN233705  IncFIB(pQil)_1_pQil_JN233705
IncFIC(FII)_1	AP001918  IncFIC(FII)_1__AP001918
IncFII(29)_1_pUTI89	CP003035  IncFII(29)_1_pUTI89_CP003035
IncFII(K)_1	CP000648  IncFII(K)_1__CP000648
IncFII(S)_1	CP000858  IncFII(S)_1__CP000858
IncFII(SARC14)_1_SARC14	JQ418540  IncFII(SARC14)_1_SARC14_JQ418540
IncFII(Serratia)_1_Serratia	NC_009829  IncFII(Serratia)_1_Serratia_NC_009829
IncFII(Y)_1_ps	CP001049  IncFII(Y)_1_ps_CP001049
IncFII(Yp)_1_Yersenia	CP000670  IncFII(Yp)_1_Yersenia_CP000670
IncFII(p14)_1_p14	JQ418538  IncFII(p14)_1_p14_JQ418538
IncFII(p96A)_1_p96A	JQ418521  IncFII(p96A)_1_p96A_JQ418521
IncFII(pAMA1167-NDM-5)_1_pAMA1167-NDM-5	CP024805.1  IncFII(pAMA1167-NDM-5)_1_pAMA1167-NDM-5_CP024805.1
IncFII(pCRY)_1_pCRY	NC_005814  IncFII(pCRY)_1_pCRY_NC_005814
IncFII(pCTU2)_1_pCTU2	FN543095  IncFII(pCTU2)_1_pCTU2_FN543095
IncFII(pCoo)_1_pCoo	CR942285  IncFII(pCoo)_1_pCoo_CR942285
IncFII(pECLA)_1_pECLA	CP001919  IncFII(pECLA)_1_pECLA_CP001919
IncFII(pENTA)_1_pENTA	CP003027  IncFII(pENTA)_1_pENTA_CP003027
IncFII(pHN7A8)_1_pHN7A8	JN232517  IncFII(pHN7A8)_1_pHN7A8_JN232517
IncFII(pKPX1)	AP012055  IncFII(pKPX1)__AP012055
IncFII(pMET)_1_pMET1	EU383016  IncFII(pMET)_1_pMET1_EU383016
IncFII(pRSB107)_1_pRSB107	AJ851089  IncFII(pRSB107)_1_pRSB107_AJ851089
IncFII(pSE11)_1_pSE11	AP009242  IncFII(pSE11)_1_pSE11_AP009242
IncFII(pYVa12790)_1_pYVa12790	AY150843  IncFII(pYVa12790)_1_pYVa12790_AY150843
